chrom	chromStart	chromEnd	name
chr1	8384656	8390282	MFS_2
chr1	8384713	8390465	MFS_1
chr1	25153594	25167329	GST_C_2
chr1	33549587	33562397	Orn_Arg_deC_N
chr1	33549644	33583637	Orn_DAP_Arg_deC
chr1	100661825	100681563	2-oxoacid_dh
chr1	150990305	150997267	DHH
chr1	176145076	176175718	zf-C3HC4_3
chr1	176145088	176175709	zf-RING_5
chr1	176145088	176175709	zf-RING_2
chr1	176145091	176175709	zf-C3HC4_2
chr1	176145091	176175709	zf-C3HC4
chr1	176145097	176175709	zf-RING_UBOX
chr1	184446646	184588678	DUF4612
chr1	2082300	2106680	Pkinase_Tyr
chr1	2082300	2106731	Pkinase
chr1	6285211	6292153	PEMT
chr1	6285223	6292144	ICMT
chr1	6885243	7700495	CG-1
chr1	20971004	20976947	Pkinase
chr1	22016469	22021603	ubiquitin
chr1	23037535	23111349	Ephrin_lbd
chr1	27248363	27267965	Nudc_N
chr1	29359610	29365775	FERM_C
chr1	32503625	32508138	Sam68-YY
chr1	39844978	39847683	Spectrin
chr1	44035283	44044545	Ig_3
chr1	44035283	44044560	I-set
chr1	44035310	44044581	Ig_2
chr1	45079862	45110911	RNF220
chr1	49052832	49511324	Peptidase_M14
chr1	51267337	51425453	UBA_4
chr1	52385709	52442720	Ras
chr1	52385715	52442726	Arf
chr1	52399044	52442720	Roc
chr1	53446088	53480623	Thiolase_C
chr1	61798197	61920986	CTF_NFI
chr1	62907228	62916097	UCH
chr1	62913037	62916106	UCH_1
chr1	70225929	70300517	LRR_5
chr1	70226022	70291432	LRR_8
chr1	87031667	87036822	VWA_2
chr1	87031667	87038331	VWA
chr1	90152032	90179143	Pannexin_like
chr1	93298588	93426974	PIP49_N
chr1	110091384	110134819	G-alpha
chr1	113244212	113246403	Ras
chr1	113244227	113246403	Arf
chr1	113245232	113246403	Roc
chr1	114269077	114301310	Phtf-FEM1B_bdg
chr1	144191542	144828703	DUF1220
chr1	144221685	145313502	DUF1220
chr1	144677358	145015877	Cnn_1N
chr1	145320584	146420184	DUF1220
chr1	145748544	145756580	PDZ
chr1	145748568	145756526	PDZ_2
chr1	149943141	149949421	UBA_4
chr1	154130120	154163760	Tropomyosin
chr1	156236386	156243197	EST1_DNA_bind
chr1	164529176	164769121	PBC
chr1	171810895	172001570	Dynamin_N
chr1	175097750	175116135	Fibrinogen_C
chr1	180257563	180382530	Ank_5
chr1	180257581	180382575	Ank_2
chr1	180257611	180366737	Ank_4
chr1	180283851	180366740	Ank
chr1	183497116	183507570	EST1_DNA_bind
chr1	186643769	186646813	An_peroxidase
chr1	202318162	202391757	Ank_4
chr1	202318168	202391781	Ank_2
